v3k;mod0
3952.9;34.32
3366.3;33.437
4871.6;33.74
4921.9;33.404
5746.2;34.935
6391.5;34.6
10850.8;36.121
4623.2;33.09
3462.7;35.37
5328.1;34.337
5361.4;34.59
4568.2;34.46
5100.4;34.53
5593.8;34.82
4808.5;34.619
5453.2;34.614
4919.8;34.043
4666.2;34.399
11104.8;35.747
17455.4;37.08
4730.6;34.157
5352.9;33.736
5039.4;34.34
13486.5;36.7
5082;34.722
8794.8;36.096
15680.5;35.94
3318.3;33.28
5823.8;34.706
10775.3;36.01
4793.9;34.44
3720;33.105
4451.6;31.28
4990;33.865
7810.8;35.21
4555.6;33.973
4459;35.98
10120.9;36.225
6165.3;34.42
3364.5;33.275
4780.7;34.433
3749.5;33.057
8779.5;35.52
3667.5;33.71
5954.4;34.756
8494.1;35.465
5670;34.2
5863.3;34.74
17643.7;36.974
5293.6;34.652
4434.9;34.35
3711.6;33.71
8836.4;35.24
3656.7;33.153
4506.9;33.91
5393;33.64
4572.9;34.071
5344.9;34.051
3994.8;33.33
4533.2;33.82
3889.6;33.531
3663.6;33.732
4656.8;34.21
4567.6;33.913
4501.3;34.194
4680.1;34.224
4543.4;34.11
3820.2;33.492
3917.3;33.54
4593.1;34.055
4182.7;33.633
4464.6;34.38
4488.9;34.87
4080.9;33.995
4186;34.221
5279.1;34.1
5849.6;34.32
3055.7;34.154
4398;33.44
14675.2;36.643
3082.4;33.262
5136;34.73
5811.8;34.27
4099.9;33.66
4729.8;33.907
4278.4;34.04
3311.3;33.82
5198.3;34.19
4050.8;34.05
4186.7;33.241
5564.7;34.36
4272.5;32.42
7180;35.107
7248.2;35.38
7447.2;35.08
3907.3;33.36
5838.6;34.71
4056;33.346
3901.1;33.88
8117.1;35.77
6352.3;34.371
3713;32.68
3057.2;33.45
5040.8;34.15
4196.8;33.612
6533.7;34.936
3356.1;32.828
6338.5;35.1
5284.8;34.781
3020.3;32.895
4108.4;34.042
5253.4;34.58
3537.7;33.29
3471.6;33.56
4970.4;34.448
5453.8;34.96
3761.4;33.14
4942.5;34.181
9623;35.63
4373.7;33.738
4994.6;33.92
5520.9;34.926
6691.3;34.458
3097.8;32.9
5011.4;34.83
3069.6;32.5
6192.3;34.44
3124.3;32.76
8763.2;35.639
3701.3;33.02
6499.7;34.867
9550.4;35.766
5192.9;34.18
3069.5;32.663
3856.8;34.53
4076.7;34.18
3732.1;34.43
5086.7;34.12
5175.6;34.469
3076.3;32.73
3122.3;33.53
5486.1;34.82
3763.2;34.01
4695.8;34.1
7670.4;35.13
3116.2;32.86
3044.6;33.521
3432.1;33.55
3412.9;33.17
3043.9;33.17
3100.8;32.967
4505.5;33.762
7542.9;34.47
3908.4;32.86
3244.1;32.406
3012.9;31.4
4221.7;33.29
3343.7;33.02
3061.1;33.074
6048.1;34.505
10021.9;35.855
3524.5;32.657
3000.9;32.574
3852.9;33.46
4013.6;32.06
3093.5;34.14
3527;29.44
4764.4;33.23
3297.5;33.08
3180.3;33.11
3242;33.75
3900.6;33.02
3896.5;33.89
4018.4;33.02
3190.1;32.897
4706;34.082
3703;34.034
4726.3;34.121
4755;31.288
4085.5;32.99
4786.1;33.53
3067.9;33.09
3321;32.147
4870.7;34.279
3249.6;32.739
4236.5;34.24
5081.8;34.363
3611.2;33.283
5306;34.535
3473.2;33.16
3086;32.746
3343.8;33.278
6551.4;34.82
3203.3;34.931
5390.6;34.332
4308;34.194
7181.9;34.765
7097.4;34.608
6304.3;34.528
7350.3;34.071
6130.5;35.072
3102.7;33.42
6967.7;33.427
6299.6;35.313
3306.9;32.392
3173.1;33.07
3002.9;31.31
3484.1;32.069
3257.5;32.274
3718.2;32.99
3234.1;32.837
3846.5;31.841
3354.3;32.3
3699.4;32.59
7984.5;35.287
9492.9;33.26
3258.6;32.926
3465.9;32.457
3638.6;33.37
7175.5;34.949
11289.5;35.06
4892.2;32.957
3603;33.182
9918.9;35.94
4940.8;34.505
3136.4;33.01
4197;34.297
3416.4;33.51
3160.2;32.67
4459.8;34.033
3160.4;32.82
4951.1;33.159
3196;33.28
4594.9;32.667
3489.7;32.58
3543.7;33.17
3343.3;32.58
4961;34.107
7777.4;34.153
6942.8;35.773
7721.5;35.02
7582.2;34.944
6322;34.809
7497.5;34.649
7397.5;35.238
7073.4;34.906
8653.1;35.697
8076.6;36.199
7298.6;35.228
6751.5;33.783
8265.3;33.812
7185.9;34.681
9687.5;34.734
8359.5;34.646
3117.8;33.337
3543;33.64
6446.5;35.078
7536.2;34.877
6405;34.978
7271.5;35.089
7911.5;34.85
7767.2;35.087
8183.3;34.393
8689.8;35.231
8834.1;34.599
11070.8;35.38
7903.8;34.418
7910.2;35.248
3365.4;32.66
6068.1;34.847
7816.6;35.568
7840.5;34.948
8025.9;33.223
3437.6;32.817
5775.1;33.689
3294.3;32.16
3394.5;30.429
3472;33.8
3269.6;32.99
3357.6;33.207
3196.9;34.48
3274.7;32.39
7518.6;34.205
3071;34.12
3432;32.509
6348.4;34.485
7489.8;36.075
4714.5;34.51
3157.4;32.75
3111.4;31.48
3200.9;32.88
5871.2;34.307
3215.8;32.657
7163.5;34.53
9779;35.44
7853;35.166
14765.7;37.11
10236;35.44
4187.8;34.61
3884.7;33.542
4523.3;34.15
4041.3;34.01
8610.5;35.695
7521.3;34.958
3800.4;32.85
4541.5;34.389
3124.8;32.67
3887.8;33.667
4655.1;34.48
3110.8;33.403
4263.6;34.05
5114.5;32.085
11329.8;36.177
9024.7;35.21
3045;32.922
4457.4;34.63
3334.4;32.84
3744.7;33.22
3269.5;32.12
3055.9;32.847
3060.1;32.33
7488.9;35.54
3127.3;33.17
12811;35.19
3159.6;32.326
3159.7;32.02
3098.4;31.82
10199.1;35.74
3131.3;33.005
3129.1;33.38
11469.3;35.807
18272.2;38.894
3861.8;34.279
4597.2;34.144
5864.4;34.39
10928.2;36.207
9713.6;35.817
7528.7;35.65
10347;36.371
4594.7;33.53
9611;35.65
5045.4;33.19
3489.4;33.641
7721.4;35.83
5101.3;34.638
12172.8;36.2
8346.2;35.76
8829.8;35.405
8057.3;35.05
7972.6;35.27
4707.7;33.069
6753.6;35.531
8726.4;35.42
3036.9;33.614
4777.5;34.225
4777.9;34.273
4556;34.031
4193.7;34
5171.9;33.7
4617.7;34.019
3524.2;31.68
5149.3;34.327
9614.4;35.375
4858.6;33.793
5323.3;35.231
4357.7;34.3
4491;35.01
6432.5;34.96
3685;33.831
4545.8;34.13
4469.5;33.898
3589;33.434
5743.3;34.341
3124;32.706
4057;34.06
3732.5;32.881
5504.2;33.972
4247.8;33.58
5931.7;34.61
5794.9;34.471
5618.3;34.592
5500.1;34.44
5772.7;34.44
4548.1;34.068
5507.9;34.175
12038.2;36.326
4161.8;33.782
3097.7;30.35
5343;34.89
5139.1;34.331
5399.1;34.4
4511.1;34.32
4577.5;34.079
4243.9;34.421
5304.2;33.85
5359.3;33.702
5068.8;34.752
3727.3;33.639
5033.2;33.89
4158.9;33.97
3618.1;33.2
4228;33.959
7699.4;35.287
8264.3;35.355
4269.2;34.037
4415.2;34.61
8223.2;35.97
5924.4;35.336
3731.5;33.626
4636.3;34.063
8280.1;35.08
14930.2;36.544
5094.2;34.388
5635.1;34.945
5540.4;34.46
4415;34.019
3962.8;33.95
5254.1;34.767
4824.3;34.51
7275.3;35.077
9958.3;36.22
3855;33.359
6416.8;35.14
9248.8;36.045
6747;35.296
12751.9;36.342
3629;32.739
3226.9;32.92
4489.7;33.426
7085.6;35.064
5521.6;34.766
9611;35.48
6846.9;35.119
8520.9;35.346
5693.7;35.14
9879.6;35.959
7287;35.416
3172.7;33.467
12895;36.052
4513.4;34.26
3394.1;34.38
6933.5;34.79
7150.7;35.161
8378.3;33.851
7189.6;34.128
6172.3;34.868
7896.6;33.37
7246.5;34.235
8514.9;33.465
8141;34.159
4559.5;33.85
3320.1;33.31
3432.3;33.47
3051.6;32.1
3802.8;32.21
5813.4;35.18
11479.8;36.06
7431;35.03
5641.5;35.98
6244.3;34.684
10010.4;35.92
4294.4;34.96
5338.9;35.05
6745.2;34.53
7447;35.212
3429.4;34.23
9802.1;36.05
8841.2;36.49
4330.6;34.56
5787.2;35.14
4934;33.66
4947.1;34.78
10624.3;36.62
6309.5;34.9
9023.1;35.48
5173.5;34
4737.5;34.83
3594.1;32.67
4760.5;34.33
6207.1;34.34
5394.6;32.27
4368.3;33.08
4335.2;32.94
5533;33.11
5983;30.64
3530;33.77
5243;34.9
4300.9;33.45
19103.2;37.494
5332.8;34.195
4221.4;34.49
3049.8;32.55
4932.2;34.3
4198.1;34.03
4264.4;34.37
5669.7;29.68
4179.5;33.86
4479.8;34.09
23997.5;37.62
11017.4;36.065
9533.7;35.96
7431.9;34.962
15048.2;36.648
18092.4;37.294
3584.5;33.75
4941;32.66
5019.2;33.37
15039.5;36.968
21009.9;37.522
15418.9;36.801
5519.8;35.018
22402.4;37.494
4943.8;33.736
3750.5;35.1
5591.7;34.169
4958.4;33.378
8308.1;35.617
5176.1;34.44
4433.6;33.781
4730;34.278
4429.6;33.731
4688.1;34.17
4466.1;33.895
5797.4;33.48
8877.7;35.695
4919.3;33.86
4014.2;33.208
4128.4;33.51
8038.1;35.342
4843.9;34.248
8365.8;35.208
7567.8;34.626
6596.5;33.503
7489;35.393
15951;36.462
6865.5;35.223
19278.8;37.05
6726.3;35
16159.7;36.887
7372.8;34.95
4487.6;32.58
4649.4;34.41
6277;35.324
5064.2;34.45
3871;33.804
5541.6;33.205
4811.6;33.698
4927.7;34.25
3821.6;34.197
5097.5;34.09
4789.2;34.339
5602.3;34.306
13054;36.31
4307.5;33.741
